sku_code,sku_name,brand,category,pack_size,mrp_inr
BS-0101,GlucoJoy 50g,GlucoJoy,Biscuits,50g,34
BS-0102,GlucoJoy 100g,GlucoJoy,Biscuits,100g,33
BS-0103,GlucoJoy 200g,GlucoJoy,Biscuits,200g,52
BS-0104,GlucoJoy 400g,GlucoJoy,Biscuits,400g,36
BS-0105,GlucoJoy Family 800g,GlucoJoy,Biscuits,Family 800g,128
BS-0106,GlucoJoy Mini 30g,GlucoJoy,Biscuits,Mini 30g,101
BS-0107,GlucoJoy Twin 2x100g,GlucoJoy,Biscuits,Twin 2x100g,103
BS-0108,GlucoJoy Party 1kg,GlucoJoy,Biscuits,Party 1kg,128
BS-0201,CremeDelight 50g,CremeDelight,Biscuits,50g,14
BS-0202,CremeDelight 100g,CremeDelight,Biscuits,100g,53
BS-0203,CremeDelight 200g,CremeDelight,Biscuits,200g,72
BS-0204,CremeDelight 400g,CremeDelight,Biscuits,400g,35
BS-0205,CremeDelight Family 800g,CremeDelight,Biscuits,Family 800g,72
BS-0206,CremeDelight Mini 30g,CremeDelight,Biscuits,Mini 30g,111
BS-0207,CremeDelight Twin 2x100g,CremeDelight,Biscuits,Twin 2x100g,136
BS-0208,CremeDelight Party 1kg,CremeDelight,Biscuits,Party 1kg,200
BS-0301,Marigold Marie 50g,Marigold Marie,Biscuits,50g,25
BS-0302,Marigold Marie 100g,Marigold Marie,Biscuits,100g,46
BS-0303,Marigold Marie 200g,Marigold Marie,Biscuits,200g,70
BS-0304,Marigold Marie 400g,Marigold Marie,Biscuits,400g,79
BS-0305,Marigold Marie Family 800g,Marigold Marie,Biscuits,Family 800g,81
BS-0306,Marigold Marie Mini 30g,Marigold Marie,Biscuits,Mini 30g,156
BS-0307,Marigold Marie Twin 2x100g,Marigold Marie,Biscuits,Twin 2x100g,150
BS-0308,Marigold Marie Party 1kg,Marigold Marie,Biscuits,Party 1kg,177
SN-0101,Crunchos 25g,Crunchos,Snacks,25g,15
SN-0102,Crunchos 50g,Crunchos,Snacks,50g,60
SN-0103,Crunchos 90g,Crunchos,Snacks,90g,31
SN-0104,Crunchos 150g,Crunchos,Snacks,150g,77
SN-0105,Crunchos Sharing 250g,Crunchos,Snacks,Sharing 250g,37
SN-0106,Crunchos Party 400g,Crunchos,Snacks,Party 400g,120
SN-0107,Crunchos Mini 15g,Crunchos,Snacks,Mini 15g,168
SN-0108,Crunchos Combo 3x50g,Crunchos,Snacks,Combo 3x50g,61
SN-0201,Namkeen Nation 25g,Namkeen Nation,Snacks,25g,17
SN-0202,Namkeen Nation 50g,Namkeen Nation,Snacks,50g,43
SN-0203,Namkeen Nation 90g,Namkeen Nation,Snacks,90g,34
SN-0204,Namkeen Nation 150g,Namkeen Nation,Snacks,150g,92
SN-0205,Namkeen Nation Sharing 250g,Namkeen Nation,Snacks,Sharing 250g,69
SN-0206,Namkeen Nation Party 400g,Namkeen Nation,Snacks,Party 400g,107
SN-0207,Namkeen Nation Mini 15g,Namkeen Nation,Snacks,Mini 15g,137
SN-0208,Namkeen Nation Combo 3x50g,Namkeen Nation,Snacks,Combo 3x50g,127
SN-0301,PopKing 25g,PopKing,Snacks,25g,27
SN-0302,PopKing 50g,PopKing,Snacks,50g,42
SN-0303,PopKing 90g,PopKing,Snacks,90g,67
SN-0304,PopKing 150g,PopKing,Snacks,150g,83
SN-0305,PopKing Sharing 250g,PopKing,Snacks,Sharing 250g,53
SN-0306,PopKing Party 400g,PopKing,Snacks,Party 400g,131
SN-0307,PopKing Mini 15g,PopKing,Snacks,Mini 15g,140
SN-0308,PopKing Combo 3x50g,PopKing,Snacks,Combo 3x50g,108
BV-0101,Aqualite 200ml,Aqualite,Beverages,200ml,27
BV-0102,Aqualite 300ml,Aqualite,Beverages,300ml,49
BV-0103,Aqualite 500ml,Aqualite,Beverages,500ml,37
BV-0104,Aqualite 1L,Aqualite,Beverages,1L,100
BV-0105,Aqualite 1.5L,Aqualite,Beverages,1.5L,115
BV-0106,Aqualite 2L,Aqualite,Beverages,2L,123
BV-0107,Aqualite Tetra 250ml,Aqualite,Beverages,Tetra 250ml,171
BV-0108,Aqualite Multipack 6x300ml,Aqualite,Beverages,Multipack 6x300ml,103
BV-0201,Zing Cola 200ml,Zing Cola,Beverages,200ml,17
BV-0202,Zing Cola 300ml,Zing Cola,Beverages,300ml,40
BV-0203,Zing Cola 500ml,Zing Cola,Beverages,500ml,58
BV-0204,Zing Cola 1L,Zing Cola,Beverages,1L,63
